Characteristic,All (n=977),Survived ≥24 mo (n=576),Died <24 mo (n=333)
**Demographics**,,,
"Age, median [IQR], y",61 [54–67],61 [54–67],61 [54–66]
Male sex,700 (72%),401 (70%),253 (76%)
**Primary tumor**,,,
Clear cell (variant=1),820 (84%),516 (90%),267 (80%)
Non-clear cell (variant=2),110 (11%),39 (7%),66 (20%)
Poorly differentiated (diff=1),511 (52%),379 (66%),113 (34%)
T stage 3–4,590 (60%),330 (57%),237 (71%)
N+ (N1 or N2),221 (23%),97 (17%),101 (30%)
M1 at diagnosis,434 (44%),205 (36%),184 (55%)
**Metastatic pattern**,,,
Synchronous metastases,402 (41%),201 (35%),172 (52%)
Multiple metastases (cat=3),636 (65%),291 (51%),289 (87%)
Bone metastases,349 (36%),170 (30%),152 (46%)
Lung metastases,653 (67%),368 (64%),233 (70%)
Liver metastases,140 (14%),62 (11%),72 (22%)
Lymph node metastases,331 (34%),162 (28%),143 (43%)
Brain metastases,56 (6%),23 (4%),28 (8%)
Adrenal metastases,122 (12%),73 (13%),39 (12%)
"# organs with mets, median [IQR]",2 [1–3],2 [1–2],2 [1–3]
**Performance status and prognostic scores**,,,
ECOG PS 0–1,454 (46%),339 (59%),64 (19%)
ECOG PS ≥2,523 (54%),237 (41%),269 (81%)
IMDC favorable,226 (23%),194 (34%),28 (8%)
IMDC intermediate,350 (36%),230 (40%),80 (24%)
IMDC poor,401 (41%),152 (26%),225 (68%)
MSKCC favorable,230 (24%),198 (34%),28 (8%)
MSKCC intermediate,353 (36%),231 (40%),82 (25%)
MSKCC poor,394 (40%),147 (26%),223 (67%)
"**Laboratory values, median [IQR]**",,,
"Hemoglobin, g/L",119 [99–134],124 [114–136],98 [84–122]
"Creatinine, µmol/L",99 [77–173],92 [76–144],118 [83–202]
"LDH, U/L",200 [169–260],198 [169–234],207 [169–290]
"Platelets, ×10⁹/L",260 [189–348],258 [194–339],278 [171–397]
"ESR, mm/h",30 [15–49],20 [12–38],44 [28–63]
**First-line therapy and local treatment**,,,
Sorafenib (Nexavar) 1st line,514 (53%),345 (60%),164 (49%)
Intermittent therapy schedule,166 (17%),139 (24%),24 (7%)
Metastasectomy,226 (23%),154 (27%),59 (18%)
Radiotherapy,131 (13%),89 (15%),35 (11%)
**Outcome (time from metastatic progression)**,,,
"Median follow-up, mo",30.4,50.9,12.4
Deaths (event=1),799 (82%),466 (81%),333 (100%)
