subgroup,n,n_pos,n_neg,auc,auc_lo,auc_hi,brier,brier_lo,brier_hi
OVERALL,182,115,67,0.8865015620158132,0.836466492663477,0.9252444660972826,0.13607479052070523,0.10856326248059747,0.16613641138570148
Male,131,82,49,0.8937325461748019,0.8393179384203481,0.9422507014262335,0.1314104031479555,0.09818761895276507,0.1672116864309363
Female,51,33,18,0.8691124315081898,0.7558530809828388,0.9535808270676692,0.14964008455926814,0.08642362325885182,0.2157987525764021
Age <60,77,51,26,0.9014885701796694,0.8264411523357365,0.957357193392599,0.1246245286356814,0.08207105845526667,0.1737186505349561
Age >=60,105,64,41,0.8771300857445121,0.8092243519854994,0.9332346137198005,0.14390148949640022,0.10635420756301896,0.18463021047760855
IMDC favourable,49,45,4,0.8326424054527017,0.7083333333333334,0.9347826086956523,0.08356405567892299,0.040140748636430836,0.14098222743231692
IMDC intermediate,60,39,21,0.7873909547129184,0.6700621493605287,0.8912048611111111,0.1781239617039267,0.12535447638489822,0.23545273546341375
IMDC poor,73,31,42,0.8960915871095396,0.8239228389526543,0.9557078801362338,0.13510884539959522,0.0900992764053419,0.18117676384981315
Early era (≤2015),168,106,62,0.8906346170572823,0.8386478058771585,0.9314575396658045,0.13355940309350411,0.10310844098768748,0.16408698782259806
Late era (≥2016),14,9,5,0.8252812324240896,0.5416666666666667,1.0,0.15984308455275997,0.05948394480229306,0.28028592379633477
